Handle,Command,Metafield: custom.option_set_v2 [single_line_text_field]
midnight-toast-push-present,UPDATE,"Card, Engraved Bottle"
off-the-clock-new-mom-gift,UPDATE,"Card, Engraved Bottle"
recovery-shift-postpartum-care-package,UPDATE,Card
the-3am-feed-new-mom-gift-basket,UPDATE,Card
before-the-night-shift-mom-to-be-gift-box,UPDATE,Card
graveyard-shift-survival-kit-new-dad-gift,UPDATE,"Card, Engraved Glass"
nightcap-first-time-dad-gift,UPDATE,"Card, Engraved Glass, Engraved Bottle"
night-shift-dad-diaper-duty-gift-pack,UPDATE,Card
lights-out-date-night-new-parents-gift-basket,UPDATE,"Card, Engraved Glass, Engraved Bottle"
the-morning-after-new-parents-coffee-gift-box,UPDATE,Card
clock-in-kit-baby-shower-gift-basket,UPDATE,Card
midnight-snack-babys-first-feeding-set,UPDATE,Card
double-shift-mom-and-baby-gift-set,UPDATE,Card
